"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/15/2020","AQS","360610135","1","0.5","ppm","6","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/16/2020","AQS","360610135","1","0.4","ppm","5","CCNY","17","71.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/17/2020","AQS","360610135","1","0.2","ppm","2","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/18/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/19/2020","AQS","360610135","1","0.3","ppm","3","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/20/2020","AQS","360610135","1","0.2","ppm","2","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/21/2020","AQS","360610135","1","0.2","ppm","2","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/22/2020","AQS","360610135","1","0.8","ppm","9","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/23/2020","AQS","360610135","1","1.4","ppm","16","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/24/2020","AQS","360610135","1","1.1","ppm","13","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/25/2020","AQS","360610135","1","0.5","ppm","6","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/26/2020","AQS","360610135","1","0.6","ppm","7","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/27/2020","AQS","360610135","1","0.8","ppm","9","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/28/2020","AQS","360610135","1","0.2","ppm","2","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/29/2020","AQS","360610135","1","0.2","ppm","2","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/30/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"01/31/2020","AQS","360610135","1","0.6","ppm","7","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/01/2020","AQS","360610135","1","0.5","ppm","6","CCNY","18","75.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/02/2020","AQS","360610135","1","0.7","ppm","8","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/03/2020","AQS","360610135","1","0.8","ppm","9","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/04/2020","AQS","360610135","1","1.5","ppm","17","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/05/2020","AQS","360610135","1","1","ppm","11","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/06/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/07/2020","AQS","360610135","1","0.4","ppm","5","CCNY","18","75.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/08/2020","AQS","360610135","1","0.5","ppm","6","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/09/2020","AQS","360610135","1","0.6","ppm","7","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/10/2020","AQS","360610135","1","0.9","ppm","10","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/11/2020","AQS","360610135","1","0.9","ppm","10","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/12/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/13/2020","AQS","360610135","1","0.5","ppm","6","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/14/2020","AQS","360610135","1","0.3","ppm","3","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/15/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/16/2020","AQS","360610135","1","0.7","ppm","8","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/17/2020","AQS","360610135","1","0.6","ppm","7","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/18/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/19/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/20/2020","AQS","360610135","1","0.2","ppm","2","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/21/2020","AQS","360610135","1","0.6","ppm","7","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/22/2020","AQS","360610135","1","0.7","ppm","8","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/23/2020","AQS","360610135","1","0.9","ppm","10","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/24/2020","AQS","360610135","1","0.9","ppm","10","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/25/2020","AQS","360610135","1","0.8","ppm","9","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/26/2020","AQS","360610135","1","0.4","ppm","5","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/27/2020","AQS","360610135","1","0.3","ppm","3","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/28/2020","AQS","360610135","1","0.3","ppm","3","CCNY","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"02/29/2020","AQS","360610135","1","0.3","ppm","3","CCNY","18","75.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
"03/01/2020","AQS","360610135","1","0.2","ppm","2","CCNY","2","8.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81976","-73.94825"
